#
# Lista de municipios de las 32 entidades federativas
# Fuente: Instituto Nacional de Estadística y Geografía (INEGI)
# Enlace: http://www.inegi.org.mx/geo/contenidos/geoestadistica/catalogoclaves.aspx
#

#
# Palabras y letras removidas: "de", "del", "el", "gran", "la", "las", "los", "san", "santa", "santo", "y"
#

#
Hinojosa			#Cuautepec de Hinojosa
Chapantongo			#Chapantongo
Chapulhuacán			#Chapulhuacán
Chilcuautla			#Chilcuautla
Eloxochitlán			#Eloxochitlán
Zapata				#Emiliano Zapata
Epazoyucan			#Epazoyucan
Francisco			#Francisco I. Madero
Huasca				#Huasca de Ocampo
Huautla				#Huautla
Huazalingo			#Huazalingo
Huehuetla			#Huehuetla
Huejutla			#Huejutla de Reyes
Huichapan			#Huichapan
Ixmiquilpan			#Ixmiquilpan
Jacala				#Jacala de Ledezma
Ledezma				#Jacala de Ledezma
Jaltocán			#Jaltocán
Hidalgo				#Juárez Hidalgo
Lolotla				#Lolotla
Metepec				#Metepec
Agustín				#San Agustín Metzquititlán
Metzquititlán			#San Agustín Metzquititlán
Metztitlán			#Metztitlán
Mineral				#Mineral del Chico
Mineral				#Mineral del Monte
Misión				#La Misión
Mixquiahuala			#Mixquiahuala de Juárez
Molango				#Molango de Escamilla
Escamilla			#Molango de Escamilla
Flores				#Nicolás Flores
Nopala				#Nopala de Villagrán
Villagrán			#Nopala de Villagrán
Omitlán				#Omitlán de Juárez
Orizatlán			#San Felipe Orizatlán
Pacula				#Pacula
Pachuca				#Pachuca de Soto
Soto				#Pachuca de Soto
Pisaflores			#Pisaflores
Obregón				#Progreso de Obregón
Mineral				#Mineral de la Reforma
Tlaxiaca			#San Agustín Tlaxiaca
Bartolo				#San Bartolo Tutotepec
Tutotepec			#San Bartolo Tutotepec
Salvador			#San Salvador
Anaya				#Santiago de Anaya
Tulantepec			#Santiago Tulantepec de Lugo Guerrero
Lugo				#Santiago Tulantepec de Lugo Guerrero
Singuilucan			#Singuilucan
Tasquillo			#Tasquillo
Tecozautla			#Tecozautla
Tenango				#Tenango de Doria
Doria				#Tenango de Doria
Tepeapulco			#Tepeapulco
Tepehuacán			#Tepehuacán de Guerrero
Tepeji				#Tepeji del Río de Ocampo
Tepetitlán			#Tepetitlán
Tetepango			#Tetepango
Tezontepec			#Villa de Tezontepec
Aldama				#Tezontepec de Aldama
Tianguistengo			#Tianguistengo
Tizayuca			#Tizayuca
Tlahuelilpan			#Tlahuelilpan
Tlahuiltepa			#Tlahuiltepa
Tlanalapa			#Tlanalapa
Tlanchinol			#Tlanchinol
Tlaxcoapan			#Tlaxcoapan
Tolcayuca			#Tolcayuca
Tula				#Tula de Allende
Allende				#Tula de Allende
Tulancingo			#Tulancingo de Bravo
Xochiatipan			#Xochiatipan
Xochicoatlán			#Xochicoatlán
Yahualica			#Yahualica
Zacualtipán			#Zacualtipán de Ángeles
Zapotlán			#Zapotlán de Juárez
Zempoala			#Zempoala
Zimapán				#Zimapán

#
# [14] Jalisco
#

Acatic				#Acatic
Acatlán				#Acatlán de Juárez
Ahualulco			#Ahualulco de Mercado
Mercado				#Ahualulco de Mercado
Amacueca			#Amacueca
Amatitán			#Amatitán
Ameca				#Ameca
Juanito				#San Juanito de Escobedo
Arandas				#Arandas
Arenal				#El Arenal
Atemajac			#Atemajac de Brizuela
Brizuela			#Atemajac de Brizuela
Atengo				#Atengo
Atenguillo			#Atenguillo
Atotonilco			#Atotonilco el Alto
Atoyac				#Atoyac
Autlán				#Autlán de Navarro
Navarro				#Autlán de Navarro
Ayotlán				#Ayotlán
Ayutla				#Ayutla
Barca				#La Barca
Bolaños				#Bolaños
Cabo				#Cabo Corrientes
Corrientes			#Cabo Corrientes
